ID,System,Section/File,Text,Interpreted constraint,Type
JTI-1,joda_time-2.10.3,https://www.joda.org/joda-time/cal_ethiopic.html,"The Ethiopic calendar system consists of 12 months of exactly 30 days, followed by a 5 or 6 day intercalary month making a year of 365 or 366 days. Leap years (6 day intercalary month) occur every 4 years without exception (as per the Julian calendar). They occur when the remainder left after dividing the Ethiopic year by four is 3. The Ethiopic year starts on Septamber 11th/12th depending on leap years. The epoch date for the calendar is 0008-08-29 (Julian), which therefore is 0001-01-01 (Ethiopic). The current era is 'EE' (Ethiopian Era).",Sets value of epoch to 0008-08-29 (Julian),concrete-value
JTI-2,joda_time-2.10.3,https://www.joda.org/joda-time/cal_ethiopic.html,Joda-Time implements the rules described above. We model the 5 or 6 day intercalary month as month 13. We also prevent the entry of dates before year 1.,Checks/Enforces that year > 1,value-comparison
JTI-3,joda_time-2.10.3,https://www.joda.org/joda-time/cal_gj.html,"The GregorianJulian calendar is a combination of two separate calendar systems, the Gregorian and the Julian. The switch from one to the other occurs at a configurable date. The default date is 1582-10-15, as defined by Pope Gregory XIII.",Sets default value of cutoff date to 1582-10-15,concrete-value
JTI-4,joda_time-2.10.3,https://www.joda.org/joda-time/cal_islamic.html,"The definition of a leap year in the Islamic calendar varies. All agree on a 30 year cycle, however which years within the 30 are leap varies by the leap year pattern:
...
15-based | 2, 5, 7, 10, 13, 15, 18, 21, 24, 26, 29","Checks that year is in set 2, 5, 7, 10, 13, 15, 18, 21, 24, 26, 29",categorical-value
JTI-5,joda_time-2.10.3,https://www.joda.org/joda-time/cal_islamic.html,"Joda-Time allows you to choose between these leap year patterns. The 16-based algorithm is the most commonly used, and is the default. Note that Microsoft uses the 15-based pattern, and calls it the 'Kuwaiti algorithm'.",Sets default value of algorithm to 16-based,concrete-value
JTI-6,joda_time-2.10.3,https://www.joda.org/joda-time/cal_islamic.html,The epoch of the calendar system is 0622-07-16 (Julian) which is therefore 0001-01-01 (Islamic). The current (and only implemented) era is 'AH' (Anno Hegirae).,Sets value of epoch to 0622-07-16 (Julian),concrete-value
JTI-7,joda_time-2.10.3,https://www.joda.org/joda-time/field.html#millisOfSecond,"The fields are explained in more detail below (for the GJChronology):
...
millisOfSecond | 0 | 999",Checks/Enforces that millisOfSecond is in range 0 – 999,value-comparison
JTI-8,joda_time-2.10.3,https://www.joda.org/joda-time/cal_iso.html,"This format of ISO8601 has the following fields:
...
two digit week of year, from 01 to 53",Checks/Enforces that week of year is < 53,value-comparison
JTI-9,joda_time-2.10.3,https://www.joda.org/joda-time/userguide.html#Intervals,"Intervals are implemented as half-open, which is to say that the start instant is inclusive but the end instant is exclusive. The end is always greater than or equal to the start. Both end-points are restricted to having the same chronology and the same time zone.",Checks/Enforces that the end is greater or equal than the start,value-comparison
JTI-10,joda_time-2.10.3,https://www.joda.org/joda-time/cal_coptic.html,"The Coptic calendar system consists of 12 months of exactly 30 days, followed by a 5 or 6 day intercalary month making a year of 365 or 366 days. Leap years (6 day intercalary month) occur every 4 years without exception (as per the Julian calendar). They occur when the remainder left after dividing the Coptic year by four is 3. The Coptic year starts on Septamber 11th/12th depending on leap years. The epoch date for the calendar is 0284-08-29 (Julian), which therefore is 0001-01-01 (Coptic). The current era is 'AM' (Anno Martyrum or Year of the Martyrs).",Checks that remainder is equal to 3,value-comparison
JTI-11,joda_time-2.10.3,https://www.joda.org/joda-time/cal_coptic.html,Joda-Time implements the rules described above. We model the 5 or 6 day intercalary month as month 13. We also prevent the entry of dates before year 1.,Checks/Enforces that year > 1,value-comparison
JTI-12,joda_time-2.10.3,https://www.joda.org/joda-time/cal_coptic.html,"The Coptic calendar system consists of 12 months of exactly 30 days, followed by a 5 or 6 day intercalary month making a year of 365 or 366 days. Leap years (6 day intercalary month) occur every 4 years without exception (as per the Julian calendar). They occur when the remainder left after dividing the Coptic year by four is 3. The Coptic year starts on Septamber 11th/12th depending on leap years. The epoch date for the calendar is 0284-08-29 (Julian), which therefore is 0001-01-01 (Coptic). The current era is 'AM' (Anno Martyrum or Year of the Martyrs).",Sets value of epoch to 0284-08-29 (Julian),concrete-value
JTI-13,joda_time-2.10.3,https://www.joda.org/joda-time/field.html#millisOfSecond,"The fields are explained in more detail below (for the GJChronology):
...
dayOfWeek | 1 (Monday) | 7 (Sunday)",Checks/Enforces that dayOfWeek is in range 1 – 7,categorical-value
RHI-1,rhino-1.6R5,7.2,"The following characters are considered to be white space:

Code Point Value | Name | Formal Name
\u0009 | Tab | <TAB>
\u000B | Vertical Tab | <VT>
\u000C | Form Feed | <FF>
\u0020 | Space | <SP>
\u00A0 | No-break space | <NBSP>
Other category “Zs” | Any other Unicode “space separator” | <USP>","WhiteSpace choices are: Tab, Vertical Tab, Form Feed, Space, NBSP, Any unicode “Z”",categorical-value
RHI-2,rhino-1.6R5,8.1,"The Undefined type has exactly one value, called undefined. Any variable that has not been assigned a value has the value undefined.",Variable default value is “Undefined”,concrete-value
RHI-3,rhino-1.6R5,7.4,"Because a single-line comment can contain any character except a LineTerminator character, and because
of the general rule that a token is always as long as possible, a single-line comment always consists of all
characters from the // marker to the end of the line. However, the LineTerminator at the end of the line is
not considered to be part of the single-line comment; it is recognised separately by the lexical grammar and
becomes part of the stream of input elements for the syntactic grammar. This point is very important,
because it implies that the presence or absence of single-line comments does not affect the process of
automatic semicolon insertion (7.9).",CharacterInComment != line terminator,value-comparison
RHI-4,rhino-1.6R5,8.6.2.2,"When the [[Put]] method of O is called with property P and value V, the following steps are taken:
...
3. If O doesn’t have a property with name P, go to step 6.",Object has no property P,dual-value-comparison
RHI-5,rhino-1.6R5,8.6.2.3,"When the [[CanPut]] method of O is called with property P, the following steps are taken:
...
2. If the property has the ReadOnly attribute, return false.",Property.ReadOnly = true,dual-value-comparison
RHI-6,rhino-1.6R5,8.6.2.3,"When the [[CanPut]] method of O is called with property P, the following steps are taken:
...
4. If the [[Prototype]] of O is null, return true.",Object.prototype = null,dual-value-comparison
RHI-7,rhino-1.6R5,8.6.2.4,"When the [[HasProperty]] method of O is called with property name P, the following steps are taken:
...
2. If the [[Prototype]] of O is null, return false.",Object.prototype = null,dual-value-comparison
RHI-8,rhino-1.6R5,8.6.2.5,"When the [[Delete]] method of O is called with property name P, the following steps are taken:
...
2. If the property has the DontDelete attribute, return false.",Property.DontDelete = true,dual-value-comparison
RHI-9,rhino-1.6R5,8.7.1,"GetValue (V)
...
3. If Result(2) is null, throw a ReferenceError exception.",Reference.base == null,value-comparison
RHI-10,rhino-1.6R5,9.2,"The operator ToBoolean converts its argument to a value of type Boolean according to the following table:
...
Number | The result is false if the argument is +0, −0, or NaN; otherwise the result is true.",arg == +0,value-comparison
RHI-11,rhino-1.6R5,9.2,"The operator ToBoolean converts its argument to a value of type Boolean according to the following table:
...
Number | The result is false if the argument is +0, −0, or NaN; otherwise the result is true.",arg == -0,value-comparison
RHI-12,rhino-1.6R5,9.2,"The operator ToBoolean converts its argument to a value of type Boolean according to the following table:
...
Number | The result is false if the argument is +0, −0, or NaN; otherwise the result is true.",arg = NaN,value-comparison
RHI-13,rhino-1.6R5,9.2,"The operator ToBoolean converts its argument to a value of type Boolean according to the following table:
...
Undefined | false",arg == Undefined,value-comparison
RHI-14,rhino-1.6R5,9.3,"The operator ToNumber converts its argument to a value of type Number according to the following table:
...
Undefined | NaN",arg = Undefined,value-comparison
RHI-15,rhino-1.6R5,7.5.2,"The following tokens are ECMAScript keywords and may not be used as identifiers in ECMAScript programs.

Keyword :: one of: break, else, new, var, case, finally, return, void, catch, for, switch, while, continue, function, this, with, default, if, throw, delete, in, try, do, instanceof, typeof","Keyword choices are: break, else, new, var, case, finally, return, void, catch, for, switch, while, continue, function, this, with, default, if, throw, delete, in, try, do, instanceof, typeof",categorical-value
RHI-16,rhino-1.6R5,9.3,"The operator ToNumber converts its argument to a value of type Number according to the following table:
...
The result is 1 if the argument is true. The result is +0 if the argument is false.",arg = true,dual-value-comparison
RHI-17,rhino-1.6R5,9.4,"The operator ToInteger converts its argument to an integral numeric value. This operator functions as
follows:
...
2. If Result(1) is NaN, return +0.",ResultOfToNumber == NaN,value-comparison
RHI-18,rhino-1.6R5,9.4,"The operator ToInteger converts its argument to an integral numeric value. This operator functions as
follows:
...
3. If Result(1) is +0, −0, +∞, or −∞, return Result(1).",ResultOfToNumber == +Infinity,value-comparison
RHI-19,rhino-1.6R5,9.8,"The operator ToString converts its argument to a value of type String according to the following table:
...
Undefined | “undefined”",arg == Undefined,value-comparison
RHI-20,rhino-1.6R5,7.8.2,"The value of the Boolean literal true is a value of the Boolean type, namely true.","Choices for boolean are: true, false",categorical-value
RHI-21,rhino-1.6R5,9.5,"The operator ToInt32 converts its argument to one of 2 32 integer values in the range −2 31 through 231−1,
inclusive. This operator functions as follows:
...
2. If Result(1) is NaN, +0, −0, +∞, or −∞, return +0.",ResultOfToNumber == +0,value-comparison
RHI-22,rhino-1.6R5,9.8,"The operator ToString converts its argument to a value of type String according to the following table:
...
3. If m is less than zero, return the string concatenation of the string ""-"" and ToString(−m).",Number < 0,value-comparison
SWA-1,swarm-2.8.11,3.3.5.2,"The Japanese WIN format does not contain station or time zone information. This information can be
provided through a configuration file that Swarm will prompt for when opening WIN files. By default,
the file open dialog will filter on .config extension but the configuration file can be called anything and
located anywhere. The first line of the file must contain the time zone, followed by the name for each
channel in the files. If specified time zone is not valid it will default to ‘GMT’. If configuration file is not
available or readable it will default to ‘UTC’. Abbreviations may work, but it is recommended to use the
full time zone name (e.g. Americas/New_York, Atlantic/Reykjavik).",ConfigurationFile.unavailable = true,dual-value-comparison
SWA-2,swarm-2.8.11,4.3,"Other information shown:
• Y-axis value if in Wave view
• Frequency and Power in Spectra view
• Frequency in Spectrogram view",Window.mode = WaveView,value-comparison
SWA-3,swarm-2.8.11,4.4.1.1,"Axes
...
X is the number of minutes to display along the bottom of the helicorder. Default is 15 minutes.",Default value of Minutes is 15,concrete-value
SWA-4,swarm-2.8.11,4.4.1.4,"Other
...
Refresh is the number of seconds between attempts to refresh the helicorder with the latest data. The default value is 15.",Default value of Refresh is 15,concrete-value
SWA-5,swarm-2.8.11,5.2.2,"Wave Options
...
Remove bias will remove the mean value from the wave if on. It is enabled by default.",RemoveBias default value is true,concrete-value
SWA-6,swarm-2.8.11,5.2.3,"Spectra Options
...
While SWARM will allow the maximum frequency to be set to any positive value greater than the minimum frequency, this value will adjust automatically if it is greater than the Nyquist frequency of the wave being manipulated.",MaximumFrequency > NyquistFrequency,value-comparison
SWA-7,swarm-2.8.11,5.2.3,"Spectra Options
...
Log Power, if checked, will set the power axis to log mode.",LogPower.checked = true,dual-value-comparison
SWA-8,swarm-2.8.11,5.2.3,"Spectra Options
...
Auto scale y-axis to scale y-axis automatically.",AutoScaleYAxis.enabled = true,dual-value-comparison
SWA-9,swarm-2.8.11,5.2.3,"Spectra Options
...
Manual scale y-axis to scale y-axis manually.",ManualScaleYAxis.enabled = true,dual-value-comparison
SWA-10,swarm-2.8.11,5.2.4,"Spectrogram Options
...
While SWARM will allow the maximum frequency to be set to any positive value greater than the minimum frequency, this value will adjust automatically if it is greater than the Nyquist frequency of the wave being manipulated.",MaximumFrequency > NyquistFrequency,value-comparison
SWA-11,swarm-2.8.11,5.2.4,"Spectrogram Options
...
Log Power, if checked, will set the power scale to log mode.",LogPower.checked = true,dual-value-comparison
SWA-12,swarm-2.8.11,5.2.4,"Spectrogram Options
...
Auto scale power to scale power automatically.",AutoScalePower.enabled = true,dual-value-comparison
SWA-13,swarm-2.8.11,5.2.4,"Spectrogram Options
...
Power range to use if manual scale power is enabled. This determines the minimum and
maximum to use on the color scale if power is scaled manually.",ManualScalePower.enabled = true,dual-value-comparison
SWA-14,swarm-2.8.11,5.2.5,"Butterworth Filter
...
Enabled checkbox will turn Butterworth filtering on and off.",ButterworthFiltering.enabled = true,dual-value-comparison
SWA-15,swarm-2.8.11,5.2.5,"Butterworth Filter
...
Zero phase shift option runs the specified filter both forward and backward. This eliminates any
phase shift effects due to the filter at the expense of effectively doubling the filter order.",ZeroPhaseShift.enabled = true,dual-value-comparison
SWA-16,swarm-2.8.11,6.2,"When the
button is enabled, users are able to make picks for P and S times, and coda start and end
times in the wave and spectrogram view for each panel. To make a pick, right click over the desired pick
time in the appropriate channel, go down the Pick menu, and select the desired pick type.
Locating origin is not yet supported in Swarm.",PickModeIcon.enabled = true,dual-value-comparison
SWA-17,swarm-2.8.11,6.2.1,"When doing a P or S pick, users must traverse all the way down the menu tree to determine onset
(Emergent or Impulsive), polarity, and weight (0 to 4) of the pick. The weight selected will be applied as
the lower and upper uncertainty. The amount of time represented by each weight is dependent on each
user’s pick settings. See section 6.2.3.16.2.3 for more information on pick settings. Once a pick is made,
a vertical line will display over the pick time, along with a tag indicating the phase, onset, and polarity.
The uncertainty times will be highlighted.","Onset must be one of: Emergent, Impulsive",categorical-value
SWA-18,swarm-2.8.11,6.2.1,"When doing a P or S pick, users must traverse all the way down the menu tree to determine onset
(Emergent or Impulsive), polarity, and weight (0 to 4) of the pick. The weight selected will be applied as
the lower and upper uncertainty. The amount of time represented by each weight is dependent on each
user’s pick settings. See section 6.2.3.16.2.3 for more information on pick settings. Once a pick is made,
a vertical line will display over the pick time, along with a tag indicating the phase, onset, and polarity.
The uncertainty times will be highlighted.",Pick.weight <= 4,value-comparison
SWA-19,swarm-2.8.11,6.2.3,"When Pick Mode is enabled, a Pick Menu is displayed to the right of the pick button. Un-toggling the
pick button will hide the Pick Menu again.",PickMode.enabled = true,dual-value-comparison
SWA-20,swarm-2.8.11,6.2.4.2,"Users can provide input to Hypo71 locating algorithm in two ways, through clipboard picks or Hypo71
input file. The recommended way to do earthquake locating is through picks in Swarm. Make at least 1
pick in the clipboard to enable the Use Clipboard Picks option. In order to perform locating using picks,
note the following:",AmountOfPicks > 0,value-comparison
SWA-21,swarm-2.8.11,6.3,"If the clipboard is in Pick Mode, the third line will display:",Clipboard.isInPickMode = true,dual-value-comparison
SWA-22,swarm-2.8.11,8,"Clicking on
at the bottom of the Data Chooser window will open real-time wave viewer. The white
area to the right shows the lag between now and the last available data at the time of refresh (which
occurs every two seconds.) It is possible to switch between views of 15, 30, 60, 120 (default), 180, 240,
or 300 seconds. The time displayed is UTC. Each wave is in its own window.",Default View value is 120,concrete-value
SWA-23,swarm-2.8.11,9.2.1,"Event Options
...
Event ratio – The minimum ratio between current and previous value to define event. I.e. current value >= (previous value * event ration)",CurrentValue >= previousValue * eventRatio,value-comparison
SWA-24,swarm-2.8.11,3.3.5.2,"The Japanese WIN format does not contain station or time zone information. This information can be
provided through a configuration file that Swarm will prompt for when opening WIN files. By default,
the file open dialog will filter on .config extension but the configuration file can be called anything and
located anywhere. The first line of the file must contain the time zone, followed by the name for each
channel in the files. If specified time zone is not valid it will default to ‘GMT’. If configuration file is not
available or readable it will default to ‘UTC’. Abbreviations may work, but it is recommended to use the
full time zone name (e.g. Americas/New_York, Atlantic/Reykjavik).",Dialog.fileFilter is “.config” by default,concrete-value
SWA-25,swarm-2.8.11,5.2.5,"Butterworth Filter
...
Order slider bar sets the order of the filter as even values between 2 and 8, inclusive. In general,
the higher the order the steeper the cutoff at the corner frequencies.",OrderSliderBar.value < 8,value-comparison
SWA-26,swarm-2.8.11,9.2.1,"Bin Size – Users may choose varying bin size between a minute to a year. The bar graph in Event view will display the number of events per bin size, e.g. hour, day, month, etc.","BinSize choices are: hour, day, month...",categorical-value
SWA-27,swarm-2.8.11,10.9,"The comma-separated fields are defined as follows:
...
6. South latitude extent (-90 to 90)",SouthLatitudeExtent >= -90,value-comparison
UML-1,argouml-0.35.4,8.1,"The current filename. If no filename for the project is set yet, then the titlebar shows ""Unititled""",Checks that the current project has no filename set,dual-value-comparison
UML-2,argouml-0.35.4,10.3.6,"If the model has been altered (as indicated by the ""*"" in the titlebar of ArgoUML's window), then activating the ""Import XMI..."" function is potentionally not the user's intention",Checks that the model has been altered,dual-value-comparison
UML-3,argouml-0.35.4,10.3.8,"The first of the two tabs is labeled General and is selected by button 1 click on its tab. It provides a
combo box for the language selection (in V0.18 of ArgoUML only Java can be chosen), and the follow-
ing selections:
...
Changed/new files only. If enabled (the default), only changed and new files are imported. If not all classes will be replaced.",Sets/Enforces the default value for 'Changed/new files only' to true,concrete-value
UML-4,argouml-0.35.4,10.3.8,"The first of the two tabs is labeled General and is selected by button 1 click on its tab. It provides a
combo box for the language selection (in V0.18 of ArgoUML only Java can be chosen), and the follow-
ing selections:
...
Create diagrams from imported code. If you unselect this, then no diagrams are created, i.e. all data will only be visible in the explorer.",Checks that 'create diagrams from existing code' is enabled,dual-value-comparison
UML-5,argouml-0.35.4,10.3.8,"The first of the two tabs is labeled General and is selected by button 1 click on its tab. It provides a
combo box for the language selection (in V0.18 of ArgoUML only Java can be chosen), and the follow-
ing selections:
...
Minimise Class icons in diagrams. If enabled, then the attributes and operations compartiments will not be shown in the classes on the generated class diagrams. Note: This item is checked by default, and is overseen by many users, which are then surprised by the result.",Checks that 'Minimize Class icons in diagrams' is enabled,dual-value-comparison
UML-6,argouml-0.35.4,8.1,"An asterisk (*). This item is only present if the current project file is “dirty”, i.e. it is altered, but not yet saved. In other words, if the asterisk is absent, then the current file has not been altered.",Checks/Enforces that asterisk only appears when project is modified but not saved,dual-value-comparison
UML-7,argouml-0.35.4,10.3.8,"The first of the two tabs is labeled General and is selected by button 1 click on its tab. It provides a
combo box for the language selection (in V0.18 of ArgoUML only Java can be chosen), and the follow-
ing selections:
...
Minimise Class icons in diagrams. If enabled, then the attributes and operations compartiments will not be shown in the classes on the generated class diagrams. Note: This item is checked by default, and is overseen by many users, which are then surprised by the result.",Sets/Enforces the default value for 'Minimise Class icons in diagrams' to true,concrete-value
UML-8,argouml-0.35.4,10.3.14,"The Project Description field may contain any text that you need to describe the project. By default it
is empty.",Sets/Enforces the default value for 'Project description' as empty,concrete-value
UML-9,argouml-0.35.4,10.3.14,"In the Notations tab, you are able to set the following fields:
...
Use guillemots (« ») for stereotypes (clear by default). By default ArgoUML uses pairs of less than and greater than (<< >>) characters for stereotypes. If this box is checked stereotypes on diagrams are shown between true guillemots (« »)",Sets/Enforces the default value for 'Use guillemots' to false,concrete-value
UML-10,argouml-0.35.4,10.3.14,"In the Notations tab, you are able to set the following fields:
...
Show visibility (clear by default). If this is selected, then ArgoUML will show the visibility
indicators in front of e.g. attributes in the diagram. In UML the notation is ""+"" for public, ""-"" for
private, ""#"" for protected, and ""~"" for package. E.g. for an attribute, it may show: +newAttr :
int.",Sets/Enforces the default value for 'Show visibility' to false,concrete-value
UML-11,argouml-0.35.4,10.3.14,"In the Notations tab, you are able to set the following fields:
...
Show visibility (clear by default). If this is selected, then ArgoUML will show the visibility indicators in front of e.g. attributes in the diagram. In UML the notation is ""+"" for public, ""-"" for private, ""#"" for protected, and ""~"" for package. E.g. for an attribute, it may show: +newAttr : int.",Checks that 'Show visibility' is enabled,dual-value-comparison
UML-12,argouml-0.35.4,10.3.14,"In the Notations tab, you are able to set the following fields:
...
Show multiplicity (clear by default). If this is selected, then ArgoUML will show the multiplicity of e.g. attributes in the diagram. In UML notation, the multiplicity is shown between [], such as: +newAttr [0..*] : int",Sets/Enforces 'Show multiplicity' to be false by default,concrete-value
UML-13,argouml-0.35.4,10.3.14,"In the Notations tab, you are able to set the following fields:
...
Show multiplicity (clear by default). If this is selected, then ArgoUML will show the multiplicity of e.g. attributes in the diagram. In UML notation, the multiplicity is shown between [], such as: +newAttr [0..*] : int",Checks that 'Show multiplicity' is enabled,dual-value-comparison
UML-14,argouml-0.35.4,10.3.14,"In the Notations tab, you are able to set the following fields:
...
Show properties (clear by default). If this is selected, then ArgoUML will show various properties between braces {}. E.g. for an attribute, it may show: +newAttr : int { frozen }.",Sets/Enforces the default value for 'Show properties' to false,concrete-value
UML-15,argouml-0.35.4,10.3.14,"In the Notations tab, you are able to set the following fields:
...
Show properties (clear by default). If this is selected, then ArgoUML will show various properties between braces {}. E.g. for an attribute, it may show: +newAttr : int { frozen }.",Checks that 'Show properties' is enabled,dual-value-comparison
UML-16,argouml-0.35.4,10.3.14,"In the Notations tab, you are able to set the following fields:
...
Show types and parameters (set by default). When this checkbox is unmarked, attributes in classes are shown without type indication, and operations are shown without parameters",Checks that 'Show types and parameters' is enabled,dual-value-comparison
UML-17,argouml-0.35.4,10.3.14,"In the Notations tab, you are able to set the following fields:
...
Default shadow width (set to 1 by default). ArgoUML is able to draw all elements on a dia-
gram with a shadow, for esthetical reasons. Use this setting to adjust the size of the shadow, used
when the modelelement is created. The details tab ""Presentation"" allows to set the shadow per
modelelement, after they are created, but ArgoUML V0.22 does not retain this latter change after
save and load.",Sets/Enforces the default value of 'Shadow width' to 1,concrete-value
UML-18,argouml-0.35.4,17.8.3,"Discriminator

Text box. The name of a discriminator for the specialization. UML 1.4 allows grouping of specializ-
ations into a number of sets, on the basis of this value.

The empty string “” is a valid entry (and the default) for this field.",Sets/Enforces the default value for 'Discriminator' to the empty string,concrete-value
UML-19,argouml-0.35.4,18.2.3,"Visibility
Radio box, with four entries public, private, protected, and package. Indicates whether
the package is visible outside the package.","Checks/Enforces that the value of 'Visibility' is one of public, private, protected, package",categorical-value
UML-20,argouml-0.35.4,18.6.3,"Visibility
Radio box, with four entries public, private, protected, and package. Indicates whether the class is visible outside the namespace.","Checks/Enforces value of visibility to be one of: public, private, protected, package",categorical-value
UML-21,argouml-0.35.4,18.7.3,"Changeability
Radio box, with entries addOnly, changeable, and frozen.","Checks/Enforces that changeability is one of addOnly, changeable, and frozen",categorical-value
UML-22,argouml-0.35.4,10.3.2,"Beneath this is a drop down selector labeled Files of type: to specify a filter on the files to be
shown in the directory listing. Only files that match the filter are listed. The available filters are listed
below. The default filter is the first one, which combines all available formats.
• ArgoUML file (*.zargo, *.uml, *.xmi, *.xml, *.zip)","Sets/Enforces default filter to be 'ArgoUML file (*.zargo, *.uml, *.xmi, *.xml, *.zip)'",concrete-value
UML-23,argouml-0.35.4,10.3.11,"The dialog box is identical to that for Open Project (see Figure 10.2, “ The file selection dialog for
Open Project.... ”), except for the Files of type:. The chosen filetype specifies the graph-
ics format used for saving. The filename is automatically extended with the corresponding ending (if not
entered already). A default filename is generated based on the diagram name.",Checks that file ending is not entered already,dual-value-comparison
UML-24,argouml-0.35.4,10.3.14,"The first field contains the name of the author or responsible for the current project. By default the
name and email of the creator are filled in, so probably you will never need to edit this, but it is pos-
sible.",Sets/Enforces the default value for 'Name',concrete-value
UML-25,argouml-0.35.4,10.3.16,"This closes down ArgoUML. A warning message will pop-up if you have a project open with unsaved changes asking if you wish to save it. See Figure 10.13, “ The save changes dialog. ”",Checks that there are unsaved changes in the project,dual-value-comparison
UML-26,argouml-0.35.4,18.2.3,By default a new package has no name defined. The package will appear with the name (Unnamed Package) in the explorer.,Sets/Enforces the default value of package name is (Unnamed Package),concrete-value
UML-27,argouml-0.35.4,18.6.1,"Presentation
Standard tab. The tick boxes, Attributes and Operations allow the attributes and operations
compartments to be shown (the default) or hidden. This is a setting valid for only the current dia-
gram that shows the class. The editable Bounds field defines the bounding box for the package on
the diagram.",Sets/Enforces 'Attributes' checkbox to be enabled by default,concrete-value
UML-28,argouml-0.35.4,18.7.3,"Multiplicity
Editable drop down selector with checkmark. The default value (1) is that there is one instance of
this attribute for each instance of the class, i.e. it is a scalar. The drop down provides a number of
commonly used specifications for non-scalar attributes.",Sets/Enforces 'Multiplicity' to be 1,concrete-value
